src,id,k,sStar,wtU,wtV,lenU,lenV
oracle,t5253,5,5,2,5,1.732051,5.000000
oracle,t5254,5,6,2,6,1.732051,5.567764
oracle,t5255,5,10,2,10,2.000000,8.660254
oracle,t5256,5,5,2,5,1.732051,5.000000
oracle,t5257,5,6,2,6,1.732051,5.567764
oracle,t5258,5,5,3,5,3.000000,4.582576
oracle,t5259,5,4,4,4,3.605551,3.605551
oracle,t5260,5,4,4,4,4.000000,4.000000
oracle,t5261,5,4,3,4,2.645751,3.605551
oracle,t5262,5,4,3,4,2.645751,4.000000
oracle,t5263,5,6,4,6,4.000000,5.196152
oracle,t5264,5,6,2,6,1.732051,5.567764
oracle,t5265,5,6,2,6,1.732051,6.000000
oracle,t5266,5,6,6,6,6.000000,6.000000
oracle,t5267,5,7,7,7,6.082763,6.082763
oracle,t5268,5,6,6,6,6.000000,6.000000
oracle,t5269,5,7,2,7,2.000000,6.276329
oracle,t5270,5,7,2,7,2.000000,6.196152
oracle,t5271,5,6,2,6,2.000000,5.291503
oracle,t5272,5,8,2,8,2.000000,7.000000
oracle,t5273,5,6,6,6,5.291503,5.291503
oracle,t5274,5,6,6,6,5.196152,5.196152
oracle,t5275,5,5,4,5,3.464102,4.358899
oracle,t5276,5,5,2,5,2.000000,4.358899
oracle,t5277,5,7,2,7,2.000000,6.276329
oracle,t5278,5,7,2,7,2.000000,6.196152
oracle,t5279,5,6,2,6,2.000000,5.291503
oracle,t5280,5,6,2,6,2.000000,5.196152
oracle,t5281,5,4,4,4,3.605551,3.605551
oracle,t5282,5,5,5,5,5.000000,5.000000
oracle,t5283,5,10,2,10,2.000000,8.660254
oracle,t5284,5,5,2,5,2.000000,4.358899
oracle,t5285,5,8,8,8,7.732051,7.732051
oracle,t5286,5,8,8,8,7.196152,7.196152
oracle,t5287,5,5,5,5,4.625182,4.625182
oracle,t5288,5,7,7,7,6.464102,6.464102
oracle,t5289,5,10,1,10,1.000000,9.196152
oracle,t5290,5,9,1,9,1.000000,8.196152
oracle,t5291,5,10,1,10,1.000000,9.075961
oracle,t5292,5,10,1,10,1.000000,9.075961
oracle,t5293,5,10,1,10,1.000000,9.075961
