id,k,weight
ctrnact-05_34-4p_4s2_5c_6i-1,5,9
ctrnact-05_34-4p_4s3_5c-1,5,9
ctrnact-05_34-4p_4s_5c2_6i-1,5,9
ctrnact-05_34-4p_4s_5c2_6i-2,5,9
ctrnact-05_34-4p_4s_5c3-1,5,9
ctrnact-05_34-4p_4s_5c_6f_6i-1,5,8
ctrnact-05_34-4p_4s_5c_6i2-1,5,9
ctrnact-05_34-4p_5c2_6i2-1,5,9
ctrnact-05_34-4p_5c3_6f-1,5,8
ctrnact-05_34-4p_5c3_6i-1,5,9
ctrnact-05_34-4p_5c3_6i-2,5,9
ctrnact-05_34-4p_5c4-1,5,9
ctrnact-05_34-4p_5c_6f_6i2-1,5,8
ctrnact-05_34-4p_5c_6i3-1,5,9
ctrnact-05_34-4s2_5c2_6f-1,5,9
ctrnact-05_34-4s2_5c2_6i-3,5,10
ctrnact-05_34-4s2_5c2_6i-6,5,10
ctrnact-05_34-4s2_5c3-1,5,10
ctrnact-05_34-4s2_5c3-2,5,10
ctrnact-05_34-4s2_5c3-4,5,10
ctrnact-05_34-4s2_5c_6f_6i-1,5,9
ctrnact-05_34-4s2_5c_6i2-1,5,10
ctrnact-05_34-4s3_5c2-4,5,10
ctrnact-05_34-4s3_5c2-5,5,10
ctrnact-05_34-4s3_5c_6f-1,5,9
ctrnact-05_34-4s3_5c_6i-1,5,10
ctrnact-05_34-4s4_5c-1,5,10
ctrnact-05_34-4s_5c2_6f_6i-1,5,9
ctrnact-05_34-4s_5c2_6f_6i-2,5,9
ctrnact-05_34-4s_5c2_6i2-2,5,10
ctrnact-05_34-4s_5c2_6i2-3,5,10
ctrnact-05_34-4s_5c3_6f-1,5,9
ctrnact-05_34-4s_5c3_6f-3,5,9
ctrnact-05_34-4s_5c3_6i-1,5,10
ctrnact-05_34-4s_5c3_6i-2,5,10
ctrnact-05_34-4s_5c3_6i-3,5,10
ctrnact-05_34-4s_5c3_6i-5,5,10
ctrnact-05_34-4s_5c4-2,5,10
ctrnact-05_34-4s_5c4-3,5,10
ctrnact-05_34-4s_5c_6f_6i2-1,5,9
ctrnact-05_34-4s_5c_6i3-1,5,10
ctrnact-05_34-5c2_6f2_6i-1,5,8
ctrnact-05_34-5c2_6f_6i2-1,5,9
ctrnact-05_34-5c2_6f_6i2-2,5,9
ctrnact-05_34-5c2_6f_6i2-3,5,9
ctrnact-05_34-5c2_6i3-2,5,10
ctrnact-05_34-5c2_6i3-3,5,10
ctrnact-05_34-5c3_6f_6i-1,5,9
ctrnact-05_34-5c3_6i2-1,5,10
ctrnact-05_34-5c3_6i2-2,5,10
ctrnact-05_34-5c3_6i2-4,5,10
ctrnact-05_34-5c4_6f-1,5,9
ctrnact-05_34-5c4_6i-3,5,10
ctrnact-05_34-5c4_6i-5,5,10
ctrnact-05_34-5c_5d_5e_6a_6i-1,5,6
ctrnact-05_34-5c_5e_5f_6a_6i-1,5,6
ctrnact-05_34-5c_6f_6i3-1,5,9
ctrnact-05_34-5c_6i4-1,5,10
ctrnact-05_34-5d2_5f3-1,5,10
ctrnact-05_34-5d2_5f3-4,5,10
