idx,name,verdict,reason,killDepth,collapses,promotions,frontier,ms
149,"[3,3,3,3,6;3,3,4,3,4;3,4,4,6]",killed,entropy0,4,4,0,10,1183
150,"[3,3,3,3,6;3,3,4,3,4;3,6,4,4]",killed,entropy0,10,10,0,13,6291
151,"[3,3,3,3,6;3,3,4,3,4;3,4,4,6]",killed,entropy0,9,9,0,13,5135
152,"[3,3,3,3,6;3,3,4,3,4;3,4,3,12]",killed,entropy0,1,1,0,8,232
153,"[3,3,3,3,6;3,3,4,3,4;3,4,6,4]",killed,entropy0,1,1,0,8,185
154,"[3,3,3,3,6;3,3,4,12;3,3,12,4]",killed,entropy0,1,1,0,7,184
155,"[3,3,3,3,6;3,6,4,4;3,3,4,12]",killed,entropy0,2,2,0,6,247
156,"[3,3,3,3,6;3,6,4,4;3,3,12,4]",killed,entropy0,1,1,1,6,156
157,"[3,3,3,3,6;3,3,4,12;4,6,12]",killed,entropy0,1,1,0,6,182
158,"[3,3,3,3,6;3,3,6,6;3,3,6,6]",survived,wall,-1,3,0,10,517
159,"[3,3,3,3,6;3,3,6,6;3,3,6,6]",survived,wall,-1,3,0,10,559
160,"[3,3,3,3,6;3,3,6,6;3,3,6,6]",killed,entropy0,1,1,0,6,148
161,"[3,3,3,3,6;3,3,6,6;3,3,6,6]",survived,wall,-1,0,0,8,72
162,"[3,3,3,3,6;3,3,6,6;3,3,6,6]",survived,wall,-1,0,0,7,111
163,"[3,3,3,3,6;3,3,3,3,6;3,3,6,6]",survived,wall,-1,2,0,9,337
164,"[3,3,3,3,6;3,3,3,3,6;3,3,6,6]",survived,wall,-1,1,0,10,203
165,"[3,3,3,3,6;3,3,6,6;3,3,3,3,6]",survived,wall,-1,1,0,8,174
166,"[3,3,3,3,6;3,3,6,6;3,3,3,3,6]",killed,entropy0,1,1,0,6,137
167,"[3,3,3,3,6;3,3,6,6;3,3,3,3,6]",killed,entropy0,1,1,0,6,130
168,"[3,3,3,3,6;3,3,6,6;3,3,3,3,6]",survived,wall,-1,2,0,9,311
169,"[3,3,3,3,6;3,3,6,6;3,3,3,3,6]",survived,wall,-1,1,0,9,216
170,"[3,3,3,3,6;3,3,6,6;3,3,3,3,6]",survived,wall,-1,1,0,9,209
171,"[3,3,3,3,6;3,3,6,6;3,3,3,3,6]",survived,wall,-1,2,0,9,298
172,"[3,3,3,3,6;3,3,6,6;3,6,3,6]",survived,wall,-1,1,0,9,193
173,"[3,3,3,3,6;3,3,6,6;3,6,3,6]",survived,wall,-1,2,0,9,295
174,"[3,3,3,3,6;3,6,3,6;3,3,6,6]",survived,wall,-1,1,0,8,154
175,"[3,3,3,3,6;3,6,3,6;3,3,6,6]",survived,wall,-1,2,1,10,406
176,"[3,3,3,3,6;3,6,3,6;3,3,6,6]",survived,wall,-1,2,0,9,355
177,"[3,3,3,3,6;3,6,3,6;3,3,6,6]",survived,wall,-1,1,0,9,206
178,"[3,3,3,3,6;3,6,3,6;3,3,6,6]",survived,wall,-1,1,0,9,202
179,"[3,3,3,3,6;3,3,6,6;6,6,6]",survived,wall,-1,0,0,7,63
180,"[3,3,3,3,6;3,3,6,6;6,6,6]",survived,wall,-1,0,0,6,68
181,"[3,3,3,3,6;3,6,3,6;3,6,4,4]",survived,timecap,-1,14,0,23,10167
182,"[3,3,3,3,6;3,6,3,6;3,4,4,6]",survived,timecap,-1,14,0,23,11538
183,"[3,3,3,3,6;3,6,3,6;3,6,3,6]",survived,wall,-1,7,0,12,2204
184,"[3,3,3,3,6;3,6,3,6;3,6,3,6]",survived,wall,-1,2,0,9,338
185,"[3,3,3,3,6;3,6,3,6;3,6,3,6]",survived,wall,-1,2,0,9,331
186,"[3,3,3,3,6;3,3,3,3,6;3,6,3,6]",survived,wall,-1,1,0,9,201
187,"[3,3,3,3,6;3,6,3,6;3,3,3,3,6]",survived,wall,-1,0,0,7,64
188,"[3,3,3,3,6;3,6,3,6;3,3,3,3,6]",survived,wall,-1,3,0,9,584
189,"[3,3,3,3,6;3,6,3,6;3,3,3,3,6]",survived,wall,-1,3,0,9,524
190,"[3,3,3,3,6;3,6,3,6;3,3,3,3,6]",survived,wall,-1,7,0,12,2002
191,"[3,3,3,3,6;3,6,3,6;3,3,3,3,6]",survived,wall,-1,7,0,12,1830
192,"[3,3,3,3,6;3,6,3,6;3,3,3,3,6]",survived,wall,-1,3,0,9,533
193,"[3,3,3,3,6;3,6,3,6;3,3,3,3,6]",survived,wall,-1,2,0,10,315
194,"[3,3,3,3,6;3,6,3,6;3,3,3,3,6]",survived,wall,-1,2,0,10,311
195,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,5,0,14,1613
196,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,9,0,18,5192
197,"[3,3,3,4,4;3,3,4,3,4;3,3,4,3,4]",survived,wall,-1,5,0,14,1907
