k,lattice,X,Y,maxwt,prov
3,hex,12,6,5,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,16,4,6,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (6, (3, 12, 12))))"
3,hex,18,0,6,"(6, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,13,6,5,"(6, ((2, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,17,4,5,"(6, ((2, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (6, (3, 12, 12))))"
3,hex,19,0,5,"(6, ((2, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,16,8,6,"(6, ((2, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12)), (6, (3, 12, 12))))"
3,hex,20,0,6,"(6, ((2, (6, 6, 6)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,16,2,6,"(6, ((2, (6, 6, 6)), (6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,15,6,6,"(6, ((2, (6, 6, 6)), (6, (4, 6, 12)), (6, (4, 6, 12))))"
3,hex,17,8,6,"(6, ((3, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12)), (6, (3, 12, 12))))"
3,hex,19,4,6,"(6, ((3, (3, 3, 6, 6)), (6, (3, 3, 6, 6)), (6, (3, 12, 12))))"
3,hex,21,0,5,"(6, ((3, (3, 3, 6, 6)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,17,2,6,"(6, ((3, (3, 3, 6, 6)), (6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,16,6,6,"(6, ((3, (3, 3, 6, 6)), (6, (4, 6, 12)), (6, (4, 6, 12))))"
3,hex,17,6,6,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,19,2,7,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,20,8,6,"(6, ((6, (3, 3, 3, 3, 3, 3)), (6, (3, 12, 12)), (6, (3, 12, 12))))"
3,hex,22,4,6,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 3, 6, 6)), (6, (3, 12, 12))))"
3,hex,24,0,8,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 3, 6, 6)), (6, (6, 6, 6))))"
3,hex,20,2,6,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 4, 4, 6)), (6, (6, 6, 6))))"
3,hex,23,4,7,"(6, ((6, (3, 3, 3, 3, 6)), (6, (3, 12, 12)), (6, (6, 6, 6))))"
3,hex,25,0,7,"(6, ((6, (3, 3, 3, 3, 6)), (6, (6, 6, 6)), (6, (6, 6, 6))))"
3,hex,14,8,6,"(6, ((6, (3, 3, 3, 4, 4)), (6, (3, 3, 4, 12)), (6, (4, 6, 12))))"
3,hex,20,6,7,"(6, ((6, (3, 3, 4, 12)), (6, (4, 6, 12)), (6, (6, 6, 6))))"
3,hex,22,8,7,"(6, ((6, (3, 3, 6, 6)), (6, (3, 12, 12)), (6, (3, 12, 12))))"
3,hex,26,0,8,"(6, ((6, (3, 3, 6, 6)), (6, (6, 6, 6)), (6, (6, 6, 6))))"
3,hex,19,10,7,"(6, ((6, (3, 12, 12)), (6, (4, 6, 12)), (6, (4, 6, 12))))"
3,hex,21,6,7,"(6, ((6, (4, 6, 12)), (6, (4, 6, 12)), (6, (6, 6, 6))))"
3,hex,28,0,6,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6))))"
3,hex,26,8,8,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12))))"
3,hex,24,6,7,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 3, 4, 12))))"
3,hex,30,0,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 3, 6, 6))))"
3,hex,28,8,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 12, 12))))"
3,hex,32,0,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (6, 6, 6))))"
3,hex,22,12,7,"(12, ((12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
3,hex,28,6,8,"(12, ((12, (3, 3, 6, 6)), (12, (4, 6, 12))))"
3,hex,34,0,8,"(12, ((12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,20,10,7,"(12, ((12, (3, 4, 4, 6)), (12, (4, 6, 12))))"
3,hex,26,4,8,"(12, ((12, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,19,8,7,"(12, ((1, (3, 3, 3, 3, 3, 3)), (3, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,23,8,7,"(12, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,27,0,6,"(12, ((1, (3, 3, 3, 3, 3, 3)), (6, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,23,6,7,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 4, 12))))"
3,hex,29,0,7,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6))))"
3,hex,31,0,6,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 3, 3, 6)), (12, (3, 3, 6, 6))))"
3,hex,21,12,7,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 3, 4, 4)), (12, (3, 12, 12))))"
3,hex,25,14,8,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 4, 12)), (12, (3, 12, 12))))"
3,hex,23,12,7,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
3,hex,25,4,8,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6)), (12, (3, 4, 4, 6))))"
3,hex,31,8,8,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,29,6,7,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6)), (12, (4, 6, 12))))"
3,hex,35,0,9,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,29,16,8,"(12, ((1, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12)), (12, (3, 12, 12))))"
3,hex,24,12,8,"(12, ((2, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
3,hex,32,8,8,"(12, ((2, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,36,0,6,"(12, ((2, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,28,14,8,"(12, ((2, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12)), (12, (4, 6, 12))))"
3,hex,25,8,7,"(12, ((2, (6, 6, 6)), (6, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,25,2,7,"(12, ((2, (6, 6, 6)), (6, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,25,12,7,"(12, ((2, (6, 6, 6)), (12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
3,hex,31,6,8,"(12, ((2, (6, 6, 6)), (12, (3, 3, 6, 6)), (12, (4, 6, 12))))"
3,hex,37,0,7,"(12, ((2, (6, 6, 6)), (12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,23,10,7,"(12, ((2, (6, 6, 6)), (12, (3, 4, 4, 6)), (12, (4, 6, 12))))"
3,hex,29,4,8,"(12, ((2, (6, 6, 6)), (12, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,33,6,9,"(12, ((2, (6, 6, 6)), (12, (4, 6, 12)), (12, (6, 6, 6))))"
3,hex,31,16,9,"(12, ((3, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12)), (12, (3, 12, 12))))"
3,hex,26,12,8,"(12, ((3, (3, 3, 6, 6)), (12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
3,hex,32,6,7,"(12, ((3, (3, 3, 6, 6)), (12, (3, 3, 4, 12)), (12, (6, 6, 6))))"
3,hex,34,8,9,"(12, ((3, (3, 3, 6, 6)), (12, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,38,0,10,"(12, ((3, (3, 3, 6, 6)), (12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,32,16,8,"(12, ((3, (3, 3, 6, 6)), (12, (3, 12, 12)), (12, (3, 12, 12))))"
3,hex,40,0,8,"(12, ((3, (3, 3, 6, 6)), (12, (6, 6, 6)), (12, (6, 6, 6))))"
3,hex,28,2,8,"(12, ((4, (6, 6, 6)), (6, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,25,10,8,"(12, ((4, (6, 6, 6)), (6, (3, 12, 12)), (12, (4, 6, 12))))"
3,hex,32,4,8,"(12, ((4, (6, 6, 6)), (12, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,32,14,9,"(12, ((4, (6, 6, 6)), (12, (3, 12, 12)), (12, (4, 6, 12))))"
3,hex,30,12,8,"(12, ((4, (6, 6, 6)), (12, (4, 6, 12)), (12, (4, 6, 12))))"
3,hex,34,16,9,"(12, ((6, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12)), (12, (3, 12, 12))))"
3,hex,29,2,7,"(12, ((6, (3, 3, 3, 3, 6)), (6, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,35,8,9,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 3, 3, 3, 6)), (12, (3, 12, 12))))"
3,hex,39,0,10,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 3, 3, 3, 6)), (12, (6, 6, 6))))"
3,hex,31,14,9,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 3, 4, 12)), (12, (3, 12, 12))))"
3,hex,29,12,8,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
3,hex,35,6,9,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 3, 4, 12)), (12, (6, 6, 6))))"
3,hex,41,0,9,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,35,16,9,"(12, ((6, (3, 3, 3, 3, 6)), (12, (3, 12, 12)), (12, (3, 12, 12))))"
3,hex,31,12,8,"(12, ((6, (3, 3, 3, 3, 6)), (12, (4, 6, 12)), (12, (4, 6, 12))))"
3,hex,37,6,9,"(12, ((6, (3, 3, 3, 3, 6)), (12, (4, 6, 12)), (12, (6, 6, 6))))"
3,hex,43,0,7,"(12, ((6, (3, 3, 3, 3, 6)), (12, (6, 6, 6)), (12, (6, 6, 6))))"
3,hex,31,2,9,"(12, ((6, (3, 3, 3, 4, 4)), (12, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6))))"
3,hex,29,10,7,"(12, ((6, (3, 3, 3, 4, 4)), (12, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12))))"
3,hex,31,10,8,"(12, ((6, (3, 3, 3, 4, 4)), (12, (3, 3, 3, 3, 6)), (12, (3, 12, 12))))"
3,hex,35,2,8,"(12, ((6, (3, 3, 3, 4, 4)), (12, (3, 3, 3, 3, 6)), (12, (6, 6, 6))))"
3,hex,38,8,9,"(12, ((6, (3, 3, 6, 6)), (12, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,42,0,10,"(12, ((6, (3, 3, 6, 6)), (12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,28,10,7,"(12, ((6, (3, 3, 6, 6)), (12, (3, 4, 4, 6)), (12, (4, 6, 12))))"
3,hex,34,4,8,"(12, ((6, (3, 3, 6, 6)), (12, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,32,12,8,"(12, ((6, (3, 3, 6, 6)), (12, (4, 6, 12)), (12, (4, 6, 12))))"
3,hex,32,10,8,"(12, ((6, (3, 4, 4, 6)), (12, (3, 3, 3, 3, 6)), (12, (3, 12, 12))))"
3,hex,28,16,8,"(12, ((6, (3, 4, 4, 6)), (12, (3, 3, 4, 12)), (12, (3, 12, 12))))"
3,hex,32,18,9,"(12, ((6, (3, 4, 4, 6)), (12, (3, 12, 12)), (12, (3, 12, 12))))"
3,hex,40,2,8,"(12, ((6, (3, 4, 4, 6)), (12, (6, 6, 6)), (12, (6, 6, 6))))"
3,hex,33,12,9,"(12, ((6, (3, 12, 12)), (12, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12))))"
3,hex,37,4,9,"(12, ((6, (3, 12, 12)), (12, (3, 3, 3, 3, 6)), (12, (3, 3, 6, 6))))"
3,hex,35,12,9,"(12, ((6, (3, 12, 12)), (12, (3, 3, 3, 3, 6)), (12, (3, 12, 12))))"
3,hex,37,12,9,"(12, ((6, (3, 12, 12)), (12, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,35,10,9,"(12, ((6, (3, 12, 12)), (12, (3, 3, 6, 6)), (12, (4, 6, 12))))"
3,hex,33,18,9,"(12, ((6, (3, 12, 12)), (12, (3, 12, 12)), (12, (4, 6, 12))))"
3,hex,37,10,9,"(12, ((6, (3, 12, 12)), (12, (4, 6, 12)), (12, (6, 6, 6))))"
3,hex,35,14,9,"(12, ((6, (6, 6, 6)), (12, (3, 12, 12)), (12, (4, 6, 12))))"
3,hex,39,6,8,"(12, ((6, (6, 6, 6)), (12, (4, 6, 12)), (12, (6, 6, 6))))"
3,hex,34,12,9,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 4, 12)), (12, (4, 6, 12))))"
3,hex,40,6,10,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 3, 6, 6)), (12, (4, 6, 12))))"
3,hex,38,4,8,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,40,16,10,"(12, ((12, (3, 3, 3, 3, 3, 3)), (12, (3, 12, 12)), (12, (3, 12, 12))))"
3,hex,44,8,10,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 3, 6, 6)), (12, (3, 12, 12))))"
3,hex,48,0,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 3, 6, 6)), (12, (6, 6, 6))))"
3,hex,40,4,10,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 4, 4, 6)), (12, (6, 6, 6))))"
3,hex,46,8,10,"(12, ((12, (3, 3, 3, 3, 6)), (12, (3, 12, 12)), (12, (6, 6, 6))))"
3,hex,44,6,8,"(12, ((12, (3, 3, 3, 3, 6)), (12, (4, 6, 12)), (12, (6, 6, 6))))"
3,hex,50,0,10,"(12, ((12, (3, 3, 3, 3, 6)), (12, (6, 6, 6)), (12, (6, 6, 6))))"
3,hex,40,12,8,"(12, ((12, (3, 3, 4, 12)), (12, (4, 6, 12)), (12, (6, 6, 6))))"
3,hex,44,16,10,"(12, ((12, (3, 3, 6, 6)), (12, (3, 12, 12)), (12, (3, 12, 12))))"
3,hex,52,0,10,"(12, ((12, (3, 3, 6, 6)), (12, (6, 6, 6)), (12, (6, 6, 6))))"
3,hex,40,22,10,"(12, ((12, (3, 12, 12)), (12, (3, 12, 12)), (12, (4, 6, 12))))"
