id,k,lattice,group,orbifold
ctrnact-12_346-4e_4j5_4k2_5b4-4,12,rectangular,pmg,22*
ctrnact-12_346-4e_4j5_4k2_5b4-9,12,rectangular,pgg,22×
ctrnact-12_346-4g2_4j2_4k2_4u2_5b4-2,12,rectangular,pgg,22×
ctrnact-12_346-4g2_4j2_4k2_4u2_5b4-4,12,rectangular,pmg,22*
ctrnact-12_346-4g2_4j2_4k4_5b2_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4g2_4j2_4k4_5b2_5d2-12,12,rectangular,pmg,22*
ctrnact-12_346-4g2_4j2_4k4_5b2_5d2-4,12,rectangular,pmg,22*
ctrnact-12_346-4g2_4j2_4k4_5b2_5d2-9,12,rectangular,pgg,22×
ctrnact-12_346-4g2_4j2_5b6_5d2-2,12,rectangular,pgg,22×
ctrnact-12_346-4g2_4j2_5b6_5d2-4,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j3_4k4_5b4-1,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j3_4k4_5b4-3,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j3_4k4_5b4-5,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j3_4k4_5b4-6,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j4_4k2_4u_5b4-2,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j4_4k2_4u_5b4-6,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j5_4k2_5b2_5d2-1,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j5_4k2_5b2_5d2-3,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j5_4k2_5b2_5d2-5,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j5_4k2_5b2_5d2-7,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k2_4u4_5b4-2,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k2_4u4_5b4-4,12,rectangular,pmg,22*
ctrnact-12_346-4g_4j_4k2_5b4_5d4-10,12,rectangular,pgg,22×
ctrnact-12_346-4g_4j_4k2_5b4_5d4-12,12,rectangular,pmg,22*
