id,k,weight
ctrnact-12_34-4p2_4s4_5c6-9,12,22
ctrnact-12_34-4p2_4s5_5c2_6i3-1,12,22
ctrnact-12_34-4p2_4s5_5c2_6i3-2,12,22
ctrnact-12_34-4p2_4s5_5c2_6i3-3,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-1,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-10,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-11,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-12,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-13,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-14,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-15,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-17,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-18,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-2,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-21,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-22,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-26,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-3,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-31,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-4,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-5,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-6,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-7,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-8,12,22
ctrnact-12_34-4p2_4s5_5c4_6i-9,12,22
ctrnact-12_34-4p2_4s6_5c2_6i2-1,12,22
ctrnact-12_34-4p2_4s6_5c2_6i2-2,12,22
ctrnact-12_34-4p2_4s6_5c2_6i2-3,12,22
ctrnact-12_34-4p2_4s6_5c4-1,12,22
ctrnact-12_34-4p2_4s6_5c4-10,12,22
ctrnact-12_34-4p2_4s6_5c4-11,12,22
ctrnact-12_34-4p2_4s6_5c4-14,12,22
ctrnact-12_34-4p2_4s6_5c4-2,12,22
ctrnact-12_34-4p2_4s6_5c4-3,12,22
ctrnact-12_34-4p2_4s6_5c4-4,12,22
ctrnact-12_34-4p2_4s6_5c4-5,12,22
ctrnact-12_34-4p2_4s6_5c4-6,12,22
ctrnact-12_34-4p2_4s6_5c4-7,12,22
ctrnact-12_34-4p2_4s6_5c4-8,12,22
ctrnact-12_34-4p2_4s6_5c4-9,12,22
ctrnact-12_34-4p2_4s7_5c2_6i-1,12,22
ctrnact-12_34-4p2_4s7_5c2_6i-2,12,22
ctrnact-12_34-4p2_4s7_5c2_6i-3,12,22
ctrnact-12_34-4p2_4s7_5c2_6i-4,12,22
